"CATEGORY","HANDLE","PARCELID","PROPERTYADDRESS"
"Vacant Lot","11571000290","15719290000","2825 MIAMI ST "
"Fenced & Locked or Paved Lot","10270000030","02709030000","1053 N TUCKER BLVD "
"Vacant Lot","11045000050","10459050000","3314 DELMAR BLVD "
"Fenced & Locked or Paved Lot","11061000100","10619100000","3531 WASHINGTON BLVD "
"Vacant Building","14500010050","45009025000","5042 TERRY AV "
"Vacant Lot","14416160190","44169340000","4428 ANDERSON AV "
"Vacant Lot","14463000270","44639270000","3201 N NEWSTEAD AV "
"Northside Regeneration VL","11843000050","18439050000","2734 CASS AV "
"Vacant Lot","12371000160","23719160000","2723 GREER AV "
"Fenced & Locked or Paved Lot","12371000180","23719180000","2727 GREER AV "
"Northside Regeneration VL","11843000150","18439150000","2711 SHERIDAN AV "
"Vacant Building","11041000100","10419100000","3221 OLIVE ST "
"Vacant Building","11655000380","16559380000","2225 CHIPPEWA ST "
"Vacant Building","11574000060","15749060000","3540 NEBRASKA AV "
"Northside Regeneration VL","11068000140","10689140000","2565 MONTGOMERY ST "
"Northside Regeneration VL","11068000165","10689165000","2569 MONTGOMERY ST "
"Northside Regeneration VL","11069000220","10699220000","2500 W UNIVERSITY ST "
"Vacant Lot","14478000570","44789570000","4753 NORTHLAND AV "
"Vacant Lot","14406030010","44069355000","4000 CORA AV "
"Vacant Building","14406020250","44069300000","4653 FARLIN AV "
"Rehab","14393000010","43939010000","4750 ROSALIE ST "
"Vacant Lot","14380040080","43809145000","4223 AUBERT AV "
"Vacant Lot","14380040110","43809150000","4931 PENROSE ST "
"Vacant Building","14380040120","43809155000","4933 PENROSE ST "
"Vacant Lot","14380030220","43809110000","4234 AUBERT AV "
"Fenced & Locked or Paved Lot","14278000030","42789030000","8371 N BROADWAY "
"Vacant Building","14275180247","42759120000","8330 N BROADWAY "
"Fenced & Locked or Paved Lot","14493020380","44939400000","4959 TERRY AV "
"Vacant Building","11971000070","19719070000","2912 INDIANA AV "
"Northside Regeneration VL","11072000060","10729060000","3103 LISMORE ST "
"Northside Regeneration VB","11072000090","10729090000","2561 W SULLIVAN AV "
"Vacant Lot","10448000160","04489160000","1433 CHOUTEAU AV "
"Vacant Lot","10448000190","04489190000","1455 CHOUTEAU AV "
"Northside Regeneration VL","11073000260","10739260000","2549 W SULLIVAN AV "
"Vacant Lot","11418000240","14189240000","2800 MISSOURI AV "
"Northside Regeneration VL","11074000180","10749180000","2527 SULLIVAN AV "
"Vacant Building","14499050390","44999185000","5137 TERRY AV "
"Vacant Lot","14470000030","44709030000","4660 KENNERLY AV "
"Vacant Lot","14470000040","44709040000","4658 KENNERLY AV "
"Vacant Lot","14467040340","44679490000","3129 ROLLA PL "
"Vacant Lot","14477020340","44779440000","4722 NORTHLAND AV "
"Vacant Building","14477020420","44779475000","4711 CUPPLES PL "
"Vacant Building","14448050070","44489035000","4546 NATURAL BRIDGE AV "
"Vacant Lot","14380040010","43809120000","4961 PENROSE ST "
"Vacant Lot","14254000280","42549280000","8224 CHURCH RD "
"Vacant Building","14254000225","42549225000","8217 N BROADWAY "
"Vacant Building","11655000300","16559300000","2125 CHIPPEWA ST "
"Northside Regeneration VL","11072000120","10729120000","3110 N JEFFERSON AV "
"Vacant Lot","11418000010","14189010000","2868 MISSOURI AV "
"Vacant Building","11073000150","10739150000","2521 W SULLIVAN AV "
"Northside Regeneration VL","11074000040","10749040000","2530 HEBERT ST "
"Vacant Building","14456000220","44569220000","4911 LEXINGTON AV "
"Northside Regeneration VB","11843000085","18439085000","2700 CASS AV "
"Fenced & Locked or Paved Lot","14446040250","44469220000","3605 PARIS AV "
"Vacant Lot","12399000080","23999080000","4026 GLASGOW AV "
"Vacant Building","11572000120","15729120000","3426 OREGON AV "
"Fenced & Locked or Paved Lot","12035000020","20359020000","3301 S 2ND ST "
"Vacant Lot","13573030020","35739010000","4282 W PENROSE ST "
"Vacant Lot","13768040135","37689205000","1263 AUBERT AV "
"Vacant Lot","13823040260","38239250000","5891 PAGE BLVD "
"Vacant Lot","14524000460","45249460000","2501 SEMPLE AV "
