"CATEGORY","HANDLE","PARCELID","PROPERTYADDRESS"
"Vacant Lot","13802030240","38029115000","1379 ARLINGTON AV "
"Vacant Lot","13789000160","37899160000","5040 WELLS AV "
"Fenced & Locked or Paved Lot","13791000690","37919690000","5105 PAGE BLVD "
"Fenced & Locked or Paved Lot","13794000420","37949420000","5139 RIDGE AV "
"Vacant Lot","13747000175","37479175000","3736 FINNEY AV "
"Vacant Lot","13754000415","37549415000","3961 ENRIGHT AV "
"Vacant Lot","13759000090","37599090000","4446 DELMAR BLVD "
"Fenced & Locked or Paved Lot","13774040190","37749435000","4637 PAGE BLVD "
"Vacant Building","13772000410","37729410000","4623 NEWBERRY TER "
"Vacant Lot","13772000490","37729490000","4645 NEWBERRY TER "
"Vacant Lot","13772000500","37729500000","4647 NEWBERRY TER "
"Vacant Lot","13775030190","37759035000","1430 HILLS TER "
"Vacant Lot","13781000560","37819560000","4801 LEDUC ST "
"Vacant Lot","13818100280","38189510000","1407 BLACKSTONE AV "
"Vacant Building","13821040200","38219565000","1433 ROWAN AV "
"Vacant Lot","13815100015","38159390000","1206 SHAWMUT PL "
"Fenced & Locked or Paved Lot","13807090280","38079375000","1363 MONTCLAIR AV "
"Vacant Building","13801040210","38019185000","5449 PAGE BLVD "
"Vacant Lot","13657000220","36579220000","4009 ALDINE AV "
"Vacant Lot","13690000080","36909080000","2807 LAMBDIN AV "
"Vacant Lot","13664000145","36649145000","2412 WHITTIER ST "
"Vacant Lot","13864030240","38649135000","5551 CATES AV "
"Vacant Building","13831000140","38319140000","5924 PLYMOUTH AV "
"Vacant Lot","13840000070","38409070000","6101 ELLA AV "
"Vacant Building","13762050330","37629165000","926 BAYARD AV "
"Vacant Lot","13720000570","37209570000","4587 COTE BRILLIANTE AV "
"Vacant Building","13725000060","37259060000","4464 EVANS AV "
"Vacant Lot","13729000130","37299130000","4234 W EVANS AV "
"Vacant Building","13739000210","37399210000","3826 PAGE BLVD "
"Fenced & Locked or Paved Lot","13747000320","37479320000","3700 FINNEY AV "
"Fenced & Locked or Paved Lot","13843000030","38439030000","6110 ELLA AV "
"Demolition","13819030130","38199065000","1485 CLARA AV "
"Playground","13819030150","38199075000","1481 CLARA AV "
"Ranken Tech","13725000120","37259120000","4442 EVANS AV "
"Ranken Tech","13725000170","37259170000","4432 EVANS AV "
"Vacant Building","13683000490","36839490000","4279 ALDINE AV "
"Fenced & Locked or Paved Lot","13672000250","36729250000","4206 LABADIE AV "
"Vacant Lot","13706000390","37069390000","4453 COTTAGE AV "
"Garden Lot","13665000180","36659180000","2626 WHITTIER ST "
"Vacant Lot","13728000500","37289500000","4217 W EVANS AV "
"Vacant Lot","13728000510","37289510000","4219 EVANS AV "
"Vacant Lot","13701000420","37019420000","1702 N TAYLOR AV "
"Vacant Lot","13724000520","37249520000","1432 N TAYLOR AV "
"Vacant Building","13710020260","37109285000","3009 N TAYLOR AV "
"Vacant Building","13714000300","37149300000","4516 ST LOUIS AV "
"Vacant Lot","13690000110","36909110000","4205 W MAFFITT AV "
"Vacant Building","13697000090","36979090000","4340 GARFIELD AV "
"Vacant Lot","13714000370","37149370000","4533 MAFFITT AV "
"Vacant Lot","13717000660","37179660000","4605 ST FERDINAND AV "
"Vacant Lot","13678000286","36789286000","1920 ANNIE MALONE DR "
"Vacant Lot","13683000350","36839350000","4229 ALDINE AV "
"Vacant Lot","13689000280","36899280000","4206 MAFFITT AV "
"Vacant Lot","12399000220","23999220000","4001 25TH ST "
"Vacant Lot","12482000020","24829020000","4308 GANO AV "
"Fenced & Locked or Paved Lot","10150050055","01509005000","908 S 7TH ST "
"Fenced & Locked or Paved Lot","13758000350","37589350000","4375 WASHINGTON BLVD "
"Vacant Lot","13638000110","36389110000","3927 ALDINE AV "
"Vacant Lot","13639000020","36399020000","3954 GARFIELD AV "
"Vacant Lot","13626000290","36269290000","3825 LABADIE AV "
"Vacant Lot","13626000310","36269310000","3831 LABADIE AV "
"Vacant Building","13576000230","35769230000","4015 LEE AV "
"Vacant Building","13576000250","35769250000","4021 LEE AV "
"Vacant Lot","13232000290","32329290000","8525 WATER ST "
"Fenced & Locked or Paved Lot","13307000090","33079090000","4330 PRAIRIE AV "
"MSD Water Management","13334000010","33349010000","100 E PRAIRIE AV "
"Vacant Lot","12749000330","27499330000","4638 NEBRASKA AV "
"Vacant Lot","13573030270","35739135000","4216 W PENROSE ST "
"Vacant Building","13396000190","33969190000","4250 WARNE AV "
"Vacant Lot","13627000130","36279130000","3822 LABADIE AV "
"Vacant Lot","13631000100","36319100000","3852 COTTAGE AV "
"Vacant Lot","12482000240","24829240000","4311 JOHN AV "
"Vacant Lot","11421000350","14219350000","2827 S JEFFERSON AV "
"Fenced & Locked or Paved Lot","13164000140","31649140000","531 POEPPING ST "
"Vacant Lot","13214000310","32149310000","547 HURCK ST "
"Vacant Lot","13272050210","32729110000","3715 FRENCH AV "
"Fenced & Locked or Paved Lot","13235000060","32359060000","8406 VULCAN ST "
"Vacant Lot","13742000650","37429650000","3965 FINNEY AV "
"Vacant Lot","13742000701","37429701000","4003 FINNEY AV "
"Vacant Lot","13720000390","37209390000","4527 COTE BRILLIANTE AV "
"Fenced & Locked or Paved Lot","13728000540","37289540000","4227 W EVANS AV "
"Vacant Lot","13728000560","37289560000","4235 W EVANS AV "
"Vacant Building","13717000570","37179570000","4575 ST FERDINAND AV "
"Vacant Lot","13720000450","37209450000","4549 COTE BRILLIANTE AV "
"Vacant Lot","13720000480","37209480000","4559 COTE BRILLIANTE AV "
"Vacant Building","13717000580","37179580000","4579 ST FERDINAND AV "
"Vacant Lot","13706000120","37069120000","4422 KENNERLY AV "
"Vacant Lot","13717000650","37179650000","4601 ST FERDINAND AV "
"Vacant Lot","13678000285","36789285000","1916 ANNIE MALONE DR "
"Vacant Lot","13702000140","37029140000","4416 GARFIELD AV "
"Vacant Lot","13630000020","36309020000","3862 LINCOLN AV "
"Vacant Lot","13630000030","36309030000","3860 LINCOLN AV "
"Vacant Lot","13637180270","36379095000","3925 DR MARTIN LUTHER KING DR "
"Vacant Building","12440000070","24409070000","4246 RANDALL PL "
"Northside Regeneration VL","11087060120","10879015000","2318 DODIER ST "
"Northside Regeneration VL","11890000420","18909420000","2425 LAFLIN ST "
"Fenced & Locked or Paved Lot","12622000150","26229150000","4130 E IOWA AV "
"Vacant Lot","10229000010","02299010000","1300 N 1ST ST "
"Vacant Lot","13742000600","37429600000","3951 FINNEY AV "
"Vacant Lot","13665000060","36659060000","2520 WHITTIER ST "
"Fenced & Locked or Paved Lot","11077000040","10779040000","2538 UNIVERSITY ST "
"Northside Regeneration VL","11077000050","10779050000","2536 UNIVERSITY ST "
"Fenced & Locked or Paved Lot","10464040095","04649020000","1307 S 8TH ST "
"Vacant Building","13812000270","38129270000","5617 CHAMBERLAIN AV "
"Northside Regeneration VL","11091000070","10919070000","2218 UNIVERSITY ST "
"Northside Regeneration VL","11091000290","10919290000","2818 N 23RD ST "
"Vacant Lot","12426000130","24269130000","4203 GLASGOW AV "
"Commercial","10245000010","02459010000","1500 N BROADWAY "
"Fenced & Locked or Paved Lot","13702000330","37029330000","4437 COTE BRILLIANTE AV "
"Vacant Building","13672000280","36729280000","4205 ST LOUIS AV "
"Vacant Lot","13691000030","36919030000","4372 ST LOUIS AV "
"Vacant Lot","13697000450","36979450000","4357 COTE BRILLIANTE AV "
"Vacant Lot","13627000030","36279030000","3854 LABADIE AV "
"Vacant Lot","13631000020","36319020000","2506 N VANDEVENTER AV "
"Vacant Building","13650000030","36509030000","4060 ST LOUIS AV "
"Fenced & Locked or Paved Lot","13658000440","36589440000","1518 N SARAH ST "
"Vacant Lot","13659000010","36599010000","4116 ALDINE AV "
"Vacant Building","13659000020","36599020000","4114 ALDINE AV "
"Vacant Building","13659000060","36599060000","4106 ALDINE AV "
"Vacant Lot","13665000300","36659300000","2529 BELLE GLADE AV "
"Fenced & Locked or Paved Lot","13597000090","35979090000","4048 LEE AV "
"Vacant Lot","13627000240","36279240000","3811 ST LOUIS AV "
"Vacant Building","13639000210","36399210000","3925 COTE BRILLIANTE AV "
"Vacant Building","12720000151","27209150002","4501 PENNSYLVANIA AV "
"Vacant Building","12720000152","27209150001","4501 PENNSYLVANIA AV "
"Fenced & Locked or Paved Lot","12176000095","21769095000","1476 S SPRING AV "
"Vacant Lot","12400000180","24009180000","4023 N 23RD ST "
"Vacant Lot","13238000040","32389040000","8410 REILLY AV "
"Vacant Building","13019000025","30199025000","7011 MICHIGAN AV "
"Fenced & Locked or Paved Lot","13091000010","30919010000","7601 POLK ST "
"Vacant Building","13132000140","31329140000","7818 VIRGINIA AV "
"Northside Regeneration VB","11845000345","18459345000","1408 GLASGOW AV "
"Vacant Lot","12049000080","20499080000","922 WYOMING ST "
"Fenced & Locked or Paved Lot","12334000031","23349031000","1606 19TH ST "
"Vacant Lot","13861000077","38619077000","13 CABANNE TOWNHOME DR "
"Vacant Building","13834050460","38349235000","5951 HAMILTON TER "
"Vacant Lot","13835060410","38359500000","5991 MINERVA AV "
"Vacant Lot","13829000450","38299450000","5935 MAPLE AV "
"Vacant Building","13808040010","38089020000","1314 CLARA AV "
"Fenced & Locked or Paved Lot","13808040070","38089050000","1332 CLARA AV "
"Vacant Lot","13684000036","36849036000","4272 GARFIELD AV "
"Vacant Building","13543000010","35439010000","2144 ADELAIDE AV "
"Vacant Building","13548000190","35489190000","4560 FAIR AV "
"Vacant Building","13548000200","35489200000","4562 FAIR AV "
"Vacant Lot","13396000220","33969220000","3942 CARTER AV "
"Vacant Lot","13353000160","33539160000","4350 DESOTO AV "
"Fenced & Locked or Paved Lot","13430000010","34309010000","650 RED BUD AV "
"Fenced & Locked or Paved Lot","13353000220","33539220000","4349 PRAIRIE AV "
"Vacant Lot","13535000210","35359210000","1923 E WARNE AV "
"Vacant Lot","13353000300","33539300000","4323 PRAIRIE AV "
"Fenced & Locked or Paved Lot","13359000040","33599040000","1920 LINTON AV "
"Fenced & Locked or Paved Lot","12170000090","21709090000","3400 LASALLE ST "
"Northside Regeneration VL","12373000035","23739035000","2614 HEBERT ST "
"Vacant Building","11657000195","16579195000","2120 CHIPPEWA ST "
"Vacant Lot","12424000270","24249270000","4135 GROVE ST "
"Vacant Building","12735000001","27359001000","4611 S GRAND BLVD "
"Northside Regeneration VB","11845000355","18459355000","1418 GLASGOW AV "
"Vacant Lot","13705000350","37059350000","4451 ST FERDINAND AV "
"Vacant Lot","13717000430","37179430000","4535 ST FERDINAND AV "
"Vacant Lot","13728000701","37289701000","4241 W EVANS AV "
"Vacant Lot","13714000260","37149260000","4526 ST LOUIS AV "
"Vacant Lot","13710020400","37109355000","4559 LABADIE AV "
"Vacant Lot","13702000080","37029080000","4432 GARFIELD AV "
"Vacant Lot","13717000640","37179640000","4595 ST FERDINAND AV "
"Vacant Lot","13683000320","36839320000","4221 ALDINE AV "
"Vacant Building","12399000210","23999210000","4003 25TH ST "
"Vacant Lot","12424000160","24249160000","4163 GROVE ST "
"Vacant Lot","12440000060","24409060000","4244 RANDALL PL "
"Vacant Building","11845000220","18459220000","2805 SHERIDAN AV "
"Northside Regeneration VL","11845000230","18459230000","2809 SHERIDAN AV "
"Northside Regeneration VL","11077000060","10779060000","2534 UNIVERSITY ST "
"Vacant Building","11420000015","14209015000","2866 S JEFFERSON AV "
"Vacant Building","11077000120","10779120000","2508 UNIVERSITY ST "
"Fenced & Locked or Paved Lot","11085000100","10859100000","2308 ST LOUIS AV "
"Fenced & Locked or Paved Lot","13788000270","37889270000","5045 WELLS AV "
"Vacant Lot","13797000500","37979500000","1470 ARLINGTON AV "
"Vacant Building","13781000330","37819330000","1915 MARCUS AV "
"Vacant Lot","12425000060","24259060000","4146 GROVE ST "
"Playground","13864040390","38649355000","5705 CATES AV "
"Fenced & Locked or Paved Lot","13802030280","38029140000","1367 ARLINGTON AV "
"Vacant Building","13817090250","38179295000","1371 SHAWMUT PL "
"Vacant Building","13808040140","38089085000","1341 MONTCLAIR AV "
"Vacant Lot","13789000100","37899100000","5060 WELLS AV "
"Vacant Lot","13573030450","35739225000","4122 W PENROSE ST "
"Fenced & Locked or Paved Lot","13618000310","36189310000","4427 GREER AV "
"Vacant Lot","13627000190","36279190000","3806 LABADIE AV "
"Vacant Lot","13623000100","36239100000","3050 WHITTIER ST "
"Vacant Lot","13573030460","35739230000","4120 W PENROSE ST "
"Vacant Lot","11087060330","10879150000","2345 UNIVERSITY ST "
"Vacant Lot","13831000480","38319480000","1182 HODIAMONT AV "
"Fenced & Locked or Paved Lot","13819030170","38199085000","1473 CLARA AV "
"Vacant Lot","13819030180","38199090000","1469 CLARA AV "
"Vacant Lot","13791000700","37919700000","5109 PAGE BLVD "
"Fenced & Locked or Paved Lot","13794000400","37949400000","5133 RIDGE AV "
"Vacant Building","13775030220","37759050000","4574 DR MARTIN LUTHER KING DR "
"Vacant Lot","13743000081","37439081000","4128 COOK AV "
"Vacant Lot","13747000265","37479265000","3714 FINNEY AV "
"Fenced & Locked or Paved Lot","13759000230","37599230000","4407 WASHINGTON BLVD "
"Vacant Lot","13714000510","37149510000","4579 MAFFITT AV "
"Vacant Lot","13718000100","37189100000","4584 ST FERDINAND AV "
"Vacant Lot","13729000100","37299100000","4244 W EVANS AV "
"Vacant Lot","13739000290","37399290000","1213 PRAIRIE AV "
"Garden Lot","13747000337","37479337000","3809 WINDSOR PL "
"Vacant Building","13702000190","37029190000","1819 N NEWSTEAD AV "
"Vacant Lot","13702000240","37029240000","4415 COTE BRILLIANTE AV "
"Vacant Lot","13714000540","37149540000","4591 MAFFITT AV "
"Northside Regeneration VL","11846000015","18469015000","1500 GLASGOW AV "
"Fenced & Locked or Paved Lot","13843000100","38439100000","1365 HODIAMONT AV "
"Vacant Lot","13844000041","38449041000","1356 COCKRILL ST "
"Vacant Building","13817100070","38179355000","1372 SHAWMUT PL "
"Vacant Lot","13824000340","38249340000","1261 GOODFELLOW BLVD "
"Vacant Building","13832110060","38329045000","5940 OAKHERST PL "
"Vacant Lot","13802030271","38029130000","1373 ARLINGTON AV "
"Vacant Lot","13806080060","38069160000","1414 GRANVILLE PL "
"Fenced & Locked or Paved Lot","13649000290","36499290000","4051 ST LOUIS AV "
"Vacant Building","13649000320","36499320000","4061 ST LOUIS AV "
"Vacant Building","13573030430","35739215000","4130 W PENROSE ST "
"Vacant Building","13597000180","35979180000","4117 HULL PL "
"Fenced & Locked or Paved Lot","13618000280","36189280000","4415 GREER AV "
"Vacant Lot","13627000150","36279150000","3816 LABADIE AV "
"Northside Regeneration VL","11087060280","10879125000","2331 UNIVERSITY ST "
"Vacant Lot","13824000270","38249270000","1289 GOODFELLOW BLVD "
"Vacant Building","13683000500","36839500000","4281 ALDINE AV "
"Vacant Building","13679000210","36799210000","4219 COTE BRILLIANTE AV "
"Vacant Lot","13711010050","37119005000","4672 LABADIE AV "
"Vacant Building","13834050420","38349215000","5939 HAMILTON TER "
"Vacant Lot","13824000240","38249240000","5808 PAGE BLVD "
"Vacant Lot","13721000020","37219020000","4588 COTE BRILLIANTE AV "
"Vacant Lot","13768040170","37689225000","1249 AUBERT AV "
"Vacant Building","13774030630","37749320000","4573 PAGE BLVD "
"Vacant Lot","13778000060","37789060000","1320 BAYARD AV "
"Vacant Lot","13778000080","37789080000","1324 BAYARD AV "
"Vacant Lot","13778000140","37789140000","1352 BAYARD AV "
"Vacant Lot","13778000150","37789150000","1356 BAYARD AV "
"Fenced & Locked or Paved Lot","13764050400","37649200000","905 N EUCLID AV "
"Fenced & Locked or Paved Lot","13754000365","37549365000","935 N VANDEVENTER AV "
"Fenced & Locked or Paved Lot","13742000530","37429530000","3927 FINNEY AV "
"Vacant Lot","13742000570","37429570000","3943 FINNEY AV "
"Vacant Lot","13759000030","37599030000","4470 DELMAR BLVD "
"Vacant Lot","13658000015","36589015000","4060 ALDINE AV "
"Vacant Lot","13644010340","36449170000","3929 KENNERLY AV "
"Vacant Lot","13644010410","36449200000","3947 KENNERLY AV "
"Vacant Lot","13638000150","36389150000","3937 ALDINE AV "
"Vacant Building","13648000430","36489430000","3019 CLAY AV "
"Vacant Lot","13630000261","36309261000","3821 COTTAGE AV "
"Fenced & Locked or Paved Lot","13616000131","36169131000","4327 FARLIN AV "
"Vacant Lot","13621000090","36219090000","3100 MARNICE PL "
"Vacant Lot","13791000420","37919420000","5029 PAGE BLVD "
"Vacant Building","13797000490","37979490000","1464 ARLINGTON AV "
"Vacant Lot","13791000550","37919550000","5069 PAGE BLVD "
"Vacant Building","11071000032","10719032000","2550 SULLIVAN AV "
"Fenced & Locked or Paved Lot","13919030145","39199050000","3750 LACLEDE AV "
"Vacant Building","13975000260","39759260000","4405 NORFOLK AV "
"Rehab","13975000220","39759220000","4414 SWAN AV "
"Vacant Lot","11086000135","10869135000","2311 ST LOUIS AV "
"Fenced & Locked or Paved Lot","13883000040","38839040000","4900 LINDELL BLVD "
"Fenced & Locked or Paved Lot","13859000240","38599240000","927 LAUREL ST "
"Vacant Lot","13822050061","38229030000","5872 RIDGE AV "
"Vacant Building","13831000330","38319330000","5945 ETZEL AV "
"Vacant Lot","13801040145","38019155000","1327 SEMPLE AV "
"Rehab","13801040190","38019180000","5437 PAGE BLVD "
"Vacant Lot","13805040140","38059135000","5565 WELLS AV "
"Vacant Building","13807100020","38079400000","1356 MONTCLAIR AV "
"Vacant Building","13802030100","38029050000","1384 SEMPLE AV "
"Vacant Lot","13802030110","38029055000","1386 SEMPLE AV "
"Vacant Lot","13664000110","36649110000","2408 WHITTIER ST "
"Vacant Lot","13664000120","36649120000","2410 WHITTIER ST "
"Vacant Building","13683000440","36839440000","4257 ALDINE AV "
"Vacant Lot","13728000420","37289420000","4245 EVANS AV "
"Vacant Lot","13728000440","37289440000","4201 W EVANS AV "
"Vacant Lot","13733000360","37339360000","3934 EVANS AV "
"Vacant Building","13733000410","37339410000","3920 EVANS AV "
"Vacant Lot","13714000270","37149270000","4524 ST LOUIS AV "
"Vacant Lot","13714000320","37149320000","2819 N TAYLOR AV "
"Vacant Lot","13697000100","36979100000","4338 GARFIELD AV "
"Vacant Lot","13697000230","36979230000","4300 GARFIELD AV "
"Vacant Lot","13678000282","36789282000","1904 ANNIE MALONE DR "
"Vacant Building","13706000150","37069150000","4416 KENNERLY AV "
"Vacant Building","13714000390","37149390000","4537 MAFFITT AV "
"Vacant Lot","13702000090","37029090000","4430 GARFIELD AV "
"Vacant Building","13678000287","36789287000","1926 ANNIE MALONE DR "
"Vacant Building","13626000110","36269110000","3832 GREER AV "
"Vacant Lot","12333000100","23339100000","1841 MADISON ST "
"Vacant Lot","12482000030","24829030000","4310 GANO AV "
"Fenced & Locked or Paved Lot","13762050070","37629035000","754 BAYARD AV "
"Vacant Lot","13738000160","37389160000","3808 COOK AV "
"Vacant Lot","13738000170","37389170000","3806 COOK AV "
"Fenced & Locked or Paved Lot","11076000130","10769130000","2513 UNIVERSITY ST "
"Primary Highway Easement","10464040110","04649030000","801 PARK AV "
"Fenced & Locked or Paved Lot","10464040180","04649095000","821 PARK AV "
"Vacant Lot","11077000230","10779230000","2545 ST LOUIS AV "
"Vacant Building","11085000120","10859120000","2300 ST LOUIS AV "
"Northside Regeneration VL","12375000010","23759010000","2632 PALM ST "
"Vacant Lot","11425050170","14259080000","2804 MAGNOLIA AV "
"Northside Regeneration VL","11892000030","18929030000","2410 N GRAND BLVD "
"Fenced & Locked or Paved Lot","11975000223","19759223000","3018 SALENA ST "
"Fenced & Locked or Paved Lot","11096000190","10969190000","2633 RAUSCHENBACH AV "
"Vacant Lot","13702000270","37029270000","4421 COTE BRILLIANTE AV "
"Fenced & Locked or Paved Lot","13711010060","37119010000","4668 LABADIE AV "
"Vacant Building","13706000410","37069410000","2602 N TAYLOR AV "
"Vacant Building","13679000290","36799290000","1810 ANNIE MALONE DR "
"Vacant Building","13691000090","36919090000","4360 ST LOUIS AV "
"Vacant Lot","13630000390","36309390000","3861 COTTAGE AV "
"Vacant Lot","13639000140","36399140000","3900 GARFIELD AV "
"Vacant Lot","13659000080","36599080000","4100 ALDINE AV "
"Vacant Lot","13606000170","36069170000","4271 SAN FRANCISCO AV "
"Vacant Lot","13621000290","36219290000","3119 LAMBDIN AV "
"Vacant Building","13644020035","36449330000","3936 KENNERLY AV "
"Vacant Lot","13631000050","36319050000","2514 VANDEVENTER PL "
"Vacant Lot","13644020040","36449335000","3920 KENNERLY AV "
"Fenced & Locked or Paved Lot","13644020080","36449355000","3910 KENNERLY AV "
"Vacant Lot","12482000220","24829220000","4317 JOHN AV "
"Northside Regeneration VB","11848000050","18489050000","1719 N LEFFINGWELL AV "
"Northside Regeneration VB","11848000070","18489070000","1715 N LEFFINGWELL AV "
"Fenced & Locked or Paved Lot","11891000300","18919300000","2513 COLEMAN ST "
"Vacant Lot","12049000180","20499180000","911 WITHNELL AV "
"Vacant Lot","12400000165","24009165000","2304 ANGELICA ST "
"Fenced & Locked or Paved Lot","10474030142","04749070000","1341 S 11TH ST "
"Vacant Lot","10475000147","04759147000","1205 PARK AV "
"Vacant Lot","14064000260","40649260000","2615 BRANNON AV "
"Vacant Building","13829000440","38299440000","5931 MAPLE AV "
"Vacant Lot","13817090210","38179275000","1385 SHAWMUT PL "
"Vacant Building","13781000470","37819470000","4749 LEDUC ST "
"Vacant Building","13781000480","37819480000","4751 LEDUC ST "
"Vacant Building","13794000360","37949360000","5119 RIDGE AV "
"Vacant Building","13798000180","37989180000","5336 WELLS AV "
"Vacant Lot","13802040130","38029225000","1388 BELT AV "
"Vacant Lot","13808040150","38089090000","1339 MONTCLAIR AV "
"Vacant Lot","13639000280","36399280000","3955 COTE BRILLIANTE AV "
"Vacant Lot","13640000040","36409040000","3960 NORTH MARKET ST "
"Vacant Lot","13640000050","36409050000","3958 NORTH MARKET ST "
"Fenced & Locked or Paved Lot","13562000260","35629260000","4439 ATHLONE AV "
"Vacant Lot","13578000010","35789010000","3856 PENROSE ST "
"Vacant Lot","13618000340","36189340000","4435 GREER AV "
"Vacant Building","13623000130","36239130000","3108 WHITTIER ST "
"Vacant Lot","13548000440","35489440000","4511 ADELAIDE AV "
"Vacant Lot","10466040140","04669220000","1000 MORRISON AV "
"Vacant Lot","11088000030","10889030000","2328 HEBERT ST "
"Fenced & Locked or Paved Lot","13720000630","37209630000","1810 CORA AV "
"Vacant Lot","13718000360","37189360000","2421 N TAYLOR AV "
"Ranken Tech","13725000400","37259400000","4455 PAGE BLVD "
"Vacant Lot","13706000475","37069475000","4456 KENNERLY AV "
"Vacant Lot","13653000110","36539110000","4026 COTTAGE AV "
"Vacant Building","13711010180","37119070000","4643 ST LOUIS AV "
"Vacant Lot","13233000200","32339200000","212 MARCEAU ST "
"Fenced & Locked or Paved Lot","13159000130","31599130000","8000 S BROADWAY "
"Vacant Building","13769000240","37699240000","1224 AUBERT AV "
"Vacant Lot","13789000030","37899030000","5078 WELLS AV "
"Vacant Lot","13861000062","38619062000","5852 CABANNE TOWNHOME DR "
"Vacant Lot","13789000150","37899150000","5044 WELLS AV "
"Rehab","13792000040","37929040000","5240 MINERVA AV "
"Vacant Lot","13792000110","37929110000","5216 MINERVA AV "
"Vacant Lot","13762050170","37629085000","782 BAYARD AV "
"Vacant Lot","13772000420","37729420000","4625 NEWBERRY TER "
"Vacant Building","13798000040","37989040000","5384 WELLS AV "
"Vacant Lot","13807100260","38079505000","1365 BURD AV "
"Fenced & Locked or Paved Lot","13874180465","38749105000","5601 PERSHING AV "
"Vacant Building","13778000270","37789270000","1415 WALTON AV "
"Fenced & Locked or Paved Lot","13781000570","37819570000","4803 LEDUC ST "
"Vacant Lot","13762050430","37629215000","4804 FOUNTAIN AV "
"Fenced & Locked or Paved Lot","13769000450","37699450000","1131 N EUCLID AV "
"Vacant Lot","13714000490","37149490000","4573 MAFFITT AV "
"Vacant Lot","13739000180","37399180000","3834 PAGE BLVD "
"Vacant Building","13711010220","37119090000","4657 ST LOUIS AV "
"Vacant Lot","13702000210","37029210000","1815 N NEWSTEAD AV "
"Vacant Lot","13702000220","37029220000","1801 N NEWSTEAD AV "
"Vacant Lot","13706000270","37069270000","4417 COTTAGE AV "
"Northside Regeneration VL","12334000060","23349060000","1618 19TH ST "
"Vacant Lot","13807100280","38079515000","1359 BURD AV "
"Vacant Lot","13807100290","38079520000","1357 BURD AV "
"Rehab","13824000360","38249360000","5805 JULIAN AV "
"Fenced & Locked or Paved Lot","13817090230","38179285000","1381 SHAWMUT PL "
"Vacant Lot","13789000090","37899090000","5062 WELLS AV "
"Fenced & Locked or Paved Lot","13798000110","37989110000","5356 WELLS AV "
"Vacant Building","13806080050","38069155000","1412 GRANVILLE PL "
"Vacant Building","13775030260","37759075000","4564 DR MARTIN LUTHER KING DR "
"Vacant Lot","13774040130","37749405000","1315 CORA AV "
"Vacant Building","13644020110","36449370000","3902 KENNERLY AV "
"Fenced & Locked or Paved Lot","13649000280","36499280000","4049 ST LOUIS AV "
"Vacant Lot","13627000170","36279170000","3812 LABADIE AV "
"Vacant Building","13568000240","35689240000","4271 RED BUD AV "
"Northside Regeneration VL","11891000200","18919200000","2516 BACON ST "
"Northside Regeneration VL","11088000060","10889060000","2316 HEBERT ST "
"Vacant Lot","13824000230","38249230000","5812 PAGE BLVD "
"Vacant Building","13721000050","37219050000","4578 COTE BRILLIANTE AV "
"Ranken Tech","13725000390","37259390000","4451 PAGE BLVD "
"Vacant Lot","13679000170","36799170000","4205 COTE BRILLIANTE AV "
"Vacant Lot","13710020490","37109400000","4627 LABADIE AV "
"Vacant Lot","13706000460","37069460000","2618 N TAYLOR AV "
"Vacant Lot","13714000600","37149600000","4609 MAFFITT AV "
"Vacant Lot","12956000130","29569130000","6337 IDAHO AV "
"Vacant Building","12750000050","27509050000","4605 S BROADWAY "
"Northside Regeneration VL","11891000040","18919040000","2408 BACON ST "
"Fenced & Locked or Paved Lot","13843000025","38439025000","6114 ELLA AV "
"Vacant Lot","13861000076","38619076000","2 CABANNE TOWNHOME DR "
"Ranken Tech","13725000130","37259130000","4440 EVANS AV "
"Vacant Lot","13729000170","37299170000","4222 W EVANS AV "
"Vacant Lot","13697000270","36979270000","4309 COTE BRILLIANTE AV "
"Vacant Building","13543000310","35439310000","4121 W FLORISSANT AV "
"Fenced & Locked or Paved Lot","13347000020","33479020000","5008 N BROADWAY "
"Vacant Lot","13557010270","35579085000","4450 W FLORISSANT AV "
"Vacant Lot","13233000310","32339310000","8501 VULCAN ST "
"Vacant Lot","13537000130","35379130000","2012 ALICE AV "
"Vacant Lot","13347000060","33479060000","5018 N BROADWAY "
"Vacant Lot","13233000320","32339320000","8507 VULCAN ST "
"MSD Water Management","13221000020","32219020000","616 MARCEAU ST "
"Vacant Building","12991040610","29919275000","5733 VERNON AV "
"Fenced & Locked or Paved Lot","13843000070","38439070000","1383 HODIAMONT AV "
"Vacant Building","13110000040","31109040000","7709 VERMONT AV "
"Vacant Building","13835060280","38359435000","5949 MINERVA AV "
"Fenced & Locked or Paved Lot","13817100080","38179360000","1374 SHAWMUT PL "
"Vacant Building","13824000280","38249280000","1285 GOODFELLOW BLVD "
"Fenced & Locked or Paved Lot","13822050340","38229160000","1389 GOODFELLOW BLVD "
"Vacant Lot","13679000250","36799250000","4237 COTE BRILLIANTE AV "
"Playground","13679000305","36799305000","1816 ANNIE MALONE DR "
"Vacant Building","13627000060","36279060000","3842 LABADIE AV "
"Vacant Lot","13391000090","33919090000","2000 E COLLEGE AV "
"Vacant Lot","13537000050","35379050000","2105 E WARNE AV "
"Vacant Lot","13544000080","35449080000","2124 ALICE AV "
"Vacant Lot","13233000260","32339260000","8417 VULCAN ST "
"Vacant Lot","13679000230","36799230000","4223 COTE BRILLIANTE AV "
"Vacant Lot","13691000040","36919040000","4370 ST LOUIS AV "
